county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,leah_vukmir_rep,tammy_baldwin_dem,mary_jo_walters_write_in_ind,john_schiess_write_in_ind,scattering,race
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 1-2,Congressional - District 8,State Senate - District 2,Assembly - District 4,504,585,0,0,1,US senator
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 3-4,Congressional - District 8,State Senate - District 2,Assembly - District 4,515,539,0,0,1,US senator
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 5-6,Congressional - District 8,State Senate - District 2,Assembly - District 4,619,682,0,0,9,US senator
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 7-8,Congressional - District 8,State Senate - District 2,Assembly - District 4,793,762,0,0,3,US senator
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 9-10,Congressional - District 8,State Senate - District 2,Assembly - District 4,875,825,0,0,4,US senator
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 11-12,Congressional - District 8,State Senate - District 2,Assembly - District 4,689,822,0,0,3,US senator
BROWN,Village of BELLEVUE,Village of BELLEVUE Wards 1-6,Congressional - District 8,State Senate - District 30,Assembly - District 88,1487,1743,0,0,4,US senator
BROWN,Village of BELLEVUE,Village of BELLEVUE Wards 7-10,Congressional - District 8,State Senate - District 30,Assembly - District 88,1997,1854,0,0,5,US senator
BROWN,Village of DENMARK,Village of DENMARK Wards 1-4,Congressional - District 8,State Senate - District 1,Assembly - District 2,509,413,0,0,3,US senator
BROWN,Village of HOBART,Village of HOBART Wards 1-8,Congressional - District 8,State Senate - District 2,Assembly - District 5,2325,1816,0,0,5,US senator
BROWN,Village of HOBART,Village of HOBART Ward 9,Congressional - District 8,State Senate - District 1,Assembly - District 2,17,18,0,0,0,US senator
BROWN,Village of HOWARD,"Village of HOWARD Wards 1,12",Congressional - District 8,State Senate - District 30,Assembly - District 89,563,459,0,0,0,US senator
BROWN,Village of HOWARD,"Village of HOWARD Wards 2,8,11",Congressional - District 8,State Senate - District 2,Assembly - District 4,1171,1071,0,0,1,US senator
BROWN,Village of HOWARD,"Village of HOWARD Wards 3-4,6",Congressional - District 8,State Senate - District 30,Assembly - District 89,535,604,0,0,3,US senator
BROWN,Village of HOWARD,Village of HOWARD Ward 5,Congressional - District 8,State Senate - District 2,Assembly - District 4,181,153,0,0,2,US senator
BROWN,Village of HOWARD,Village of HOWARD Ward 7,Congressional - District 8,State Senate - District 2,Assembly - District 5,330,292,0,0,2,US senator
BROWN,Village of HOWARD,"Village of HOWARD Wards 9-10,18",Congressional - District 8,State Senate - District 2,Assembly - District 4,816,798,0,0,2,US senator
BROWN,Village of HOWARD,Village of HOWARD Wards 13-14,Congressional - District 8,State Senate - District 30,Assembly - District 89,552,440,0,0,0,US senator
BROWN,Village of HOWARD,Village of HOWARD Wards 15-16,Congressional - District 8,State Senate - District 2,Assembly - District 5,855,609,0,0,1,US senator
BROWN,Village of PULASKI,"Village of PULASKI Wards 1-3,6",Congressional - District 8,State Senate - District 2,Assembly - District 6,696,592,0,0,0,US senator
BROWN,Village of SUAMICO,Village of SUAMICO Wards 1-4,Congressional - District 8,State Senate - District 30,Assembly - District 89,1807,1184,0,0,5,US senator
BROWN,Village of SUAMICO,Village of SUAMICO Wards 5-8,Congressional - District 8,State Senate - District 30,Assembly - District 89,2180,1477,0,0,2,US senator
BROWN,Village of WRIGHTSTOWN,Village of WRIGHTSTOWN Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,710,466,0,0,3,US senator
BROWN,City of DE PERE,City of DE PERE Wards 1-4,Congressional - District 8,State Senate - District 30,Assembly - District 88,1516,1827,0,0,8,US senator
BROWN,City of DE PERE,City of DE PERE Ward 5,Congressional - District 8,State Senate - District 1,Assembly - District 2,84,156,0,0,0,US senator
BROWN,City of DE PERE,City of DE PERE Wards 6-8,Congressional - District 8,State Senate - District 30,Assembly - District 88,1012,1281,0,0,3,US senator
BROWN,City of DE PERE,"City of DE PERE Wards 9,18",Congressional - District 8,State Senate - District 1,Assembly - District 2,277,328,0,0,0,US senator
BROWN,City of DE PERE,City of DE PERE Wards 10-12,Congressional - District 8,State Senate - District 1,Assembly - District 2,1062,1337,0,0,4,US senator
BROWN,City of DE PERE,City of DE PERE Wards 13-15,Congressional - District 8,State Senate - District 1,Assembly - District 2,1495,1438,0,0,3,US senator
BROWN,City of DE PERE,City of DE PERE Wards 16-17,Congressional - District 8,State Senate - District 2,Assembly - District 4,5,0,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 1,Congressional - District 8,State Senate - District 1,Assembly - District 1,6,3,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 2,Congressional - District 8,State Senate - District 30,Assembly - District 88,557,615,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 3,Congressional - District 8,State Senate - District 30,Assembly - District 88,522,928,0,0,2,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 4,Congressional - District 8,State Senate - District 30,Assembly - District 88,878,894,0,0,4,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 5,Congressional - District 8,State Senate - District 30,Assembly - District 88,312,348,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 6,Congressional - District 8,State Senate - District 30,Assembly - District 88,740,737,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 7,Congressional - District 8,State Senate - District 30,Assembly - District 88,411,465,0,0,1,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 8,Congressional - District 8,State Senate - District 30,Assembly - District 88,669,809,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 9,Congressional - District 8,State Senate - District 30,Assembly - District 88,184,309,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 10,Congressional - District 8,State Senate - District 30,Assembly - District 88,203,344,0,0,1,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 11,Congressional - District 8,State Senate - District 30,Assembly - District 88,284,322,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 12,Congressional - District 8,State Senate - District 30,Assembly - District 90,176,357,0,0,3,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 13,Congressional - District 8,State Senate - District 30,Assembly - District 90,141,432,0,0,3,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 14,Congressional - District 8,State Senate - District 30,Assembly - District 88,226,376,0,0,1,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 15,Congressional - District 8,State Senate - District 30,Assembly - District 90,366,712,0,0,2,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 16,Congressional - District 8,State Senate - District 30,Assembly - District 90,281,626,0,0,2,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 17,Congressional - District 8,State Senate - District 30,Assembly - District 90,222,505,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 18,Congressional - District 8,State Senate - District 30,Assembly - District 88,299,457,0,0,1,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 19,Congressional - District 8,State Senate - District 30,Assembly - District 90,180,365,0,0,2,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 20,Congressional - District 8,State Senate - District 30,Assembly - District 90,188,431,0,0,2,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 21,Congressional - District 8,State Senate - District 30,Assembly - District 90,145,381,0,0,1,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 22,Congressional - District 8,State Senate - District 30,Assembly - District 88,113,165,0,0,0,US senator
BROWN,City of GREEN BAY,City of GREEN BAY Ward 23,Congressional - District 8,State Senate - District 30,Assembly - District 90,195,397,0,0,0,US senator
