office,votes,candidate,party
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 32,14813,Tyler August,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 32,10182,Katherine R. Gaulke,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 32,2,Jeremiah Sutton (wr-in),Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 33,27478,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 33,17236,Cody J. Horlacher,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 33,10219,Brandon White,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 34,31816,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 34,19699,Rob Swearingen,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 34,12096,Chris Meier,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 35,26107,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 35,16380,Mary Czaja-Felzkowski,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 35,9714,Mark A. Martello,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 36,25283,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 36,16938,Jeffrey L. Mursau,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 36,8338,Tim Comer,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 37,20433,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 37,19616,John Jagler,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 38,31361,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 38,18056,Barbara Dittrich,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 38,13286,Melissa Winker,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 39,25150,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 39,15940,Mark L. Born,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 39,9210,Elisha Barudin,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 40,24555,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 40,15794,Kevin Petersen,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 40,8759,Erin Tracy,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 41,24249,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 41,15257,Joan Ballweg,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 41,8984,Frank T. Buress,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 42,26529,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 42,15299,Jon Plumer,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 42,11209,Ann Groves Lloyd,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 43,26564,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 43,10288,Gabriel Szerlong,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 43,16241,Don Vruwink,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 44,18472,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 44,18005,Deb Kolste,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 45,17950,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 45,14198,Mark Spreitzer,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 45,3496,Reese Wood,Libertarian
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 46,24697,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 46,24011,Gary Hebl,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 47,26226,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 47,25706,Jimmy Anderson,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 48,28297,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 48,27794,Melissa Agard Sargent,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 49,21844,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 49,12858,Travis Tranel,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 49,8968,Mike Mooney,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 50,22700,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 50,12379,Tony Kurtz,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 50,9658,Arthur L. Shrader,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 50,659,James Krus,Independent
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 51,24573,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 51,12445,Todd Novak,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 51,12113,Jeff Wright,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 52,24604,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 52,15164,Jeremy Thiesfeldt,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 52,9427,Kevin Booth,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 53,23986,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 53,15160,Michael Schraa,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 53,8812,Joe Lavrenz,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 54,19160,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 54,18019,Gordon Hintz,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 55,27418,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 55,15122,Mike Rohrkaste,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 55,12283,Dan Schierl,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,30147,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,18033,Dave Murphy,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,12110,Diana Lawrence,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 57,17257,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 57,16946,Amanda Stuck,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 58,28839,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 58,20471,Rick Gundrum,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 58,8368,Dennis D. Degenhardt,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 59,23504,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 59,23339,Timothy S. Ramthun,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 60,31920,Total Votes,NA
